country,year,military_expenditure,gdp_growth
Afghanistan,1965,NULL,25.8333179333346
Afghanistan,1962,NULL,-0.40485570325693
Afghanistan,1969,NULL,2.58899875451654
Afghanistan,1968,NULL,-17.9282863954541
Afghanistan,1972,NULL,-12.8639822658902
Afghanistan,1961,NULL,2.06611432552425
Afghanistan,1975,1.72206568717957,9.79380506663845
Afghanistan,1971,NULL,4.70141022106352
Afghanistan,1964,NULL,6.50887619341056
Afghanistan,1978,NULL,11.7381425270961
Afghanistan,1974,1.61082470417023,24.3589821222883
Afghanistan,1963,NULL,37.3983790283559
Afghanistan,1967,NULL,19.5238125714286
Afghanistan,2004,2.43125367164612,15.5708499254924
Afghanistan,1981,NULL,-4.47413310845987
Afghanistan,1966,NULL,39.0728535765978
Afghanistan,1970,1.62960612773895,24.1323273624062
Afghanistan,1973,1.86891031265259,8.6350989231928
Afghanistan,2003,NULL,18.1730157079568
Afghanistan,1976,2.04608702659607,7.98122964597036
Afghanistan,2007,2.56626725196838,39.8196260992464
Afghanistan,2010,1.94583570957184,27.7100017492569
Afghanistan,2014,1.29801285266876,1.74081473862568
Afghanistan,1977,2.01147484779358,15.565222783274
Afghanistan,2013,1.07694971561432,1.20100292416672
Afghanistan,2016,0.956772148609161,-5.31847667561251
Afghanistan,2017,0.945226788520813,3.51547137271234
Afghanistan,1980,NULL,-1.52022695616777
Afghanistan,2020,1.35885691642761,6.15169853942778
Afghanistan,2019,1.17096841335297,4.13345358222585
Afghanistan,2006,1.89623403549194,12.3886829812636
Africa Eastern and Southern,1962,2.11378693580627,5.88729647232802
Afghanistan,2009,2.0874125957489,22.8191536775401
Africa Eastern and Southern,1963,1.81528949737549,8.46692818870174
Afghanistan,1979,NULL,12.0588024242424
Africa Eastern and Southern,1965,2.40166163444519,9.57107906568499
Africa Eastern and Southern,1966,2.438716173172,7.93864699897644
Afghanistan,2012,1.17541611194611,11.8069045224374
Afghanistan,2005,1.99206566810608,18.7249604992751
Africa Eastern and Southern,1972,2.44542622566223,7.66673523041433
Afghanistan,2015,0.994575798511505,-6.6492585601403
Africa Eastern and Southern,1964,2.39921998977661,9.22366953910011
Africa Eastern and Southern,1969,2.58330726623535,12.5149530641676
Africa Eastern and Southern,1967,2.53610253334045,9.95437958545609
Afghanistan,2008,2.33554577827454,3.70757882307956
Africa Eastern and Southern,1975,3.41392827033997,6.34254347146849
Africa Eastern and Southern,1970,2.38520216941833,8.93594733023708
Africa Eastern and Southern,1976,4.07350730895996,0.112077592446416
Afghanistan,2011,1.82134544849396,12.2877659633551
Africa Eastern and Southern,1978,4.2194766998291,11.6917077839265
Africa Eastern and Southern,1973,2.58483576774597,31.3366710591961
Africa Eastern and Southern,1980,3.39974594116211,32.484376988407
Africa Eastern and Southern,1983,3.81612467765808,6.69936330506329
Africa Eastern and Southern,1979,3.91475915908813,18.9663956589542
Africa Eastern and Southern,1981,3.6791136264801,4.32404593679395
Afghanistan,2018,1.0067458152771,-3.73389162627208
Africa Eastern and Southern,1986,3.74856376647949,12.940916713922
Afghanistan,2021,1.82793390750885,-28.5099731057934
Africa Eastern and Southern,1982,3.79622745513916,-5.50425982930495
Africa Eastern and Southern,1989,5.22813510894775,6.29340035364454
Africa Eastern and Southern,1988,5.22907543182373,10.2045695790414
Africa Eastern and Southern,1985,3.4497447013855,-16.5629949740286
Africa Eastern and Southern,1996,1.83444786071777,-0.672435376678275
Africa Eastern and Southern,1991,3.73978853225708,8.22564305527579
Africa Eastern and Southern,1992,2.95008683204651,-12.8478334605627
Africa Eastern and Southern,1961,1.48974573612213,4.80687906365714
Africa Eastern and Southern,1968,2.56958651542664,8.30419469356523
Africa Eastern and Southern,1995,2.14458870887756,12.2972993354629
Africa Eastern and Southern,1994,2.62984251976013,1.17681460354871
Africa Eastern and Southern,1999,2.27288126945496,-1.35154195337285
Africa Eastern and Southern,1971,2.50082850456238,9.4929959407133
Africa Eastern and Southern,1998,1.82320761680603,-5.90663523816159
Africa Eastern and Southern,2001,1.96018016338348,-8.8243952351779
Africa Eastern and Southern,2005,1.67624521255493,16.6683816872625
Africa Eastern and Southern,2008,1.92937028408051,7.18281500703666
Africa Eastern and Southern,1997,1.82870984077454,5.60330524550336
Africa Eastern and Southern,2011,1.50108790397644,12.0670869490125
Africa Eastern and Southern,2002,2.02426695823669,2.66062915599348
Africa Eastern and Southern,2014,1.75908625125885,2.09354582559572
Africa Eastern and Southern,2004,1.86414909362793,24.3590776956518
Africa Eastern and Southern,2009,1.94771218299866,1.64541474327039
Africa Eastern and Southern,2021,1.00549685955048,16.9720962680727
Africa Eastern and Southern,2007,1.66651427745819,14.7703489415797
Africa Eastern and Southern,2012,1.53381180763245,0.857216856068909
Africa Eastern and Southern,2010,1.53515350818634,19.837725346866
Africa Western and Central,1962,1.32056403160095,7.32573260728395
Africa Eastern and Southern,2017,1.44821870326996,15.5432469532859
Africa Eastern and Southern,2015,1.5777428150177,-7.39618649224632
Africa Eastern and Southern,2020,1.10267186164856,-7.68350374669712
Africa Western and Central,1965,1.47197604179382,7.40672441754034
Africa Eastern and Southern,2018,1.11872243881226,-1.54346289446403
Africa Western and Central,1963,1.31725895404816,6.14216018823136
Africa Western and Central,1972,3.85723400115967,21.2352461162742
Africa Western and Central,1961,NULL,6.95642432847874
Africa Western and Central,1966,1.37286829948425,6.52662522823527
Africa Western and Central,1975,5.64163732528687,16.3517514704822
Africa Western and Central,1968,5.55362510681152,3.13275243828655
Africa Western and Central,1969,6.44687700271606,13.4523876700244
Africa Western and Central,1978,3.82497406005859,9.00927030269159
Africa Western and Central,1971,3.15417218208313,-11.3237125524885
Africa Western and Central,1976,4.34550285339355,20.7689955883372
Africa Western and Central,1981,2.5754542350769,88.3437646380598
Africa Western and Central,1974,3.37176370620728,38.8622367612407
Africa Western and Central,1979,3.225346326828,24.4784686044514
Africa Western and Central,1977,4.31469058990479,5.12803777682536
Africa Western and Central,1988,1.26762700080872,-1.21229800449691
Africa Western and Central,1982,2.19481015205383,-11.2985012010844
Africa Western and Central,1984,1.59190404415131,-17.2701413739003
Africa Western and Central,1991,1.09181571006775,5.03718574714499
Africa Western and Central,1985,1.53887391090393,1.96441398195943
Africa Western and Central,1987,1.21768271923065,2.58092921406954
Africa Western and Central,1994,0.923053443431854,4.03382929196372
Africa Western and Central,1989,1.12522625923157,-6.58553575561561
Africa Western and Central,1990,1.14039587974548,19.6849775092604
Africa Western and Central,1992,1.07121312618256,-4.19190988809455
Africa Western and Central,2001,1.02591121196747,5.27495181237611
Africa Western and Central,1995,0.638513326644897,54.4852950858021
Africa Western and Central,1997,0.556663691997528,5.01981259077021
Africa Western and Central,2004,0.83842533826828,23.965481374065
Africa Western and Central,1998,0.641440153121948,7.49801109368738
Africa Western and Central,2000,0.83208155632019,2.06878708865392
Africa Western and Central,2007,0.702778398990631,17.5597684580327
Africa Western and Central,2005,0.678974866867065,22.3382427309127
Africa Western and Central,2003,0.904131650924683,15.7804475923886
Africa Western and Central,2008,0.828197002410889,21.9545136967291
Africa Western and Central,2010,0.832690119743347,17.7219739113921
Africa Western and Central,2006,0.647036015987396,27.7376385030427
Africa Western and Central,2011,0.805922389030457,13.9605048157849
Africa Western and Central,2017,0.822058916091919,-0.936933401863262
Africa Western and Central,2014,0.731257796287537,7.24232379033747
Africa Western and Central,2020,0.949805676937103,-4.42590247888997
Africa Western and Central,2021,1.16545522212982,7.36567351987751
Albania,1990,5.88830089569092,-9.96570555177385
Albania,1987,5.86222887039185,-0.788142537720103
Albania,1993,3.19945096969604,81.748073694873
Albania,1996,1.37902963161469,33.7214865763863
Albania,2003,1.33684289455414,29.0572271114104
Albania,1994,2.54781913757324,58.6877908727784
